Columns,Correlation Ratio,Target Column
Asking Rent,0.9976696657124997,Effective Rent
Percent of Units Offering Concessions,0.001708661,Effective Rent
Concession ($),0.000197969,Effective Rent
Concession (% of Asking Rent),0.000192859,Effective Rent
Effective RPSF,5.619091550686584e-05,Effective Rent
Asking RPSF,5.209639710109813e-05,Effective Rent
Average Year Built of Sample,1.3113790180329603e-05,Effective Rent
YoY Effective Rent Change,1.3042994286496745e-05,Effective Rent
YoY Effective Rent Change 1,1.0330098142314165e-05,Effective Rent
Annual Units Sampled,7.562073112563666e-06,Effective Rent
Year,7.3818192440618445e-06,Effective Rent
YoY Asking Rent Change 1,5.604113311982664e-06,Effective Rent
Yoy Asking Rent Change,4.739609934417555e-06,Effective Rent
Average Unit Size (SF),4.567275466691459e-06,Effective Rent
Annual Properties Sampled,4.5667627630716e-06,Effective Rent
Vacancy,4.501724646774152e-06,Effective Rent
Occupancy,4.267177540212199e-06,Effective Rent
Units Sampled,4.178282126209419e-06,Effective Rent
ZIP Code,3.8059759385468316e-06,Effective Rent
Percent Sampled,3.6915016037596887e-06,Effective Rent
Effective Rent Change,3.0591994307252242e-06,Effective Rent
YoY Occupancy Change,2.9574284199422557e-06,Effective Rent
Effective Rent Change 1,2.9133298907122733e-06,Effective Rent
Month,2.8792946833225103e-06,Effective Rent
Units Sampled 1,2.6878250539504066e-06,Effective Rent
Asking Rent Change,2.6596445937436045e-06,Effective Rent
Asking Rent Change 1,2.5757367668030177e-06,Effective Rent
YoY Occupancy Change 1,2.1790368947263714e-06,Effective Rent
Occupancy Change,1.979180839401049e-06,Effective Rent
Properties Sampled 1,1.8819199401291414e-06,Effective Rent
Properties Sampled,1.7623602135869977e-06,Effective Rent
Ora Score,6.133076192092286e-07,Effective Rent
YoY Ora Score Change,4.987008266321355e-07,Effective Rent
QoQ Ora Score Change,3.874949811323138e-07,Effective Rent
Category_Unit Type,3.3764310657353293e-07,Effective Rent
Niche_2 BR,2.725426387711951e-07,Effective Rent
Niche_1980s,2.141213043873247e-07,Effective Rent
Niche_3 BR,2.0292388937733586e-07,Effective Rent
Category_Year Built,1.9942225277955286e-07,Effective Rent
Niche_2010s,1.2694164546107077e-07,Effective Rent
Niche_Class C,7.579303589014871e-08,Effective Rent
Category_Class,5.3057825711664554e-08,Effective Rent
Niche_2000s,5.065454034432373e-08,Effective Rent
Niche_Class B,4.528356751053133e-08,Effective Rent
Niche_Pre-1970,4.435586163044463e-08,Effective Rent
Niche_1990s,3.8416101211355294e-08,Effective Rent
Niche_1970s,3.533279016806314e-08,Effective Rent
Niche_Class A,3.464296751154599e-08,Effective Rent
Annual Transaction Volume ($),2.6359981162447128e-08,Effective Rent
Existing Units,2.523648368182554e-08,Effective Rent
Category_Totals,2.3595193916574427e-08,Effective Rent
Annual Price per Unit,2.2521103901389067e-08,Effective Rent
Niche_Mid-Rise,2.20925586586603e-08,Effective Rent
Niche_Eff,2.1787742119483473e-08,Effective Rent
Annual Cap Rate,1.886393019477518e-08,Effective Rent
Annual Transaction Volume (#),1.882093964187994e-08,Effective Rent
Niche_Totals,1.8158168954563158e-08,Effective Rent
Niche_High-Rise,1.7467621678147925e-08,Effective Rent
Niche_2020+,1.5821133260414608e-08,Effective Rent
Rent Roll (Rev / OSF),1.5421219118638012e-08,Effective Rent
YoY Revenue Change (Rev / ASF),1.5279250453954352e-08,Effective Rent
YoY Renewal Conversion Change,1.4531850679755732e-08,Effective Rent
Signed Renewal Leases per Unit,1.4232473435668447e-08,Effective Rent
Renewal Lease Term,1.4198050237566494e-08,Effective Rent
New Lease Applications per Unit,1.3934622348190129e-08,Effective Rent
Revenue (Rev / ASF),1.3685141197705502e-08,Effective Rent
