Variable Code,Description,Description2
DP05_0028E,Estimate!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),Sex ratio (males per 100 females)
DP05_0029E,Estimate!!SEX AND AGE!!Total population!!65 years and over,65 years and over
DP05_0024E,Estimate!!SEX AND AGE!!Total population!!65 years and over,65 years and over
DP05_0025E,Estimate!!SEX AND AGE!!Total population!!18 years and over,18 years and over
DP05_0026E,Estimate!!SEX AND AGE!!Total population!!18 years and over!!Male,Male
DP05_0027E,Estimate!!SEX AND AGE!!Total population!!18 years and over!!Female,Female
DP05_0020E,Estimate!!SEX AND AGE!!Total population!!16 years and over,16 years and over
DP05_0021E,Estimate!!SEX AND AGE!!Total population!!18 years and over,18 years and over
DP05_0022E,Estimate!!SEX AND AGE!!Total population!!21 years and over,21 years and over
DP05_0023E,Estimate!!SEX AND AGE!!Total population!!62 years and over,62 years and over
DP05_0036E,Estimate!!RACE!!Total population!!One race,One race
DP05_0037E,Estimate!!RACE!!Total population!!One race!!White,White
DP05_0038E,Estimate!!RACE!!Total population!!One race!!Black or African American,Black or African American
DP05_0039E,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native,American Indian and Alaska Native
DP05_0032E,Estimate!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),Sex ratio (males per 100 females)
DP05_0033E,Estimate!!RACE!!Total population,Total population
DP05_0034E,Estimate!!RACE!!Total population!!One race,One race
DP05_0035E,Estimate!!RACE!!Total population!!Two or More Races,Two or More Races
DP05_0030E,Estimate!!SEX AND AGE!!Total population!!65 years and over!!Male,Male
DP05_0031E,Estimate!!SEX AND AGE!!Total population!!65 years and over!!Female,Female
DP05_0091E,Estimate!!Total housing units,Total housing units
DP05_0090E,"Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or More Races!!Two races excluding Some Other Race, and three or more races","Two races excluding Some Other Race, and three or more races"
DP05_0008E,Estimate!!SEX AND AGE!!Total population!!15 to 19 years,15 to 19 years
DP05_0009E,Estimate!!SEX AND AGE!!Total population!!20 to 24 years,20 to 24 years
DP05_0004E,Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),Sex ratio (males per 100 females)
DP05_0005E,Estimate!!SEX AND AGE!!Total population!!Under 5 years,Under 5 years
DP05_0006E,Estimate!!SEX AND AGE!!Total population!!5 to 9 years,5 to 9 years
