Variable Code,Label,Type,Category,Detail
S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
S1901_C01_002E,"Estimate!!Households!!Total!!Less than $10,000",Households,INCOME BRACKET,"Less than $10,000"
S1901_C01_003E,"Estimate!!Households!!Total!!$10,000 to $14,999",Households,INCOME BRACKET,"$10,000 to $14,999"
S1901_C01_004E,"Estimate!!Households!!Total!!$15,000 to $24,999",Households,INCOME BRACKET,"$15,000 to $24,999"
S1901_C01_005E,"Estimate!!Households!!Total!!$25,000 to $34,999",Households,INCOME BRACKET,"$25,000 to $34,999"
S1901_C01_006E,"Estimate!!Households!!Total!!$35,000 to $49,999",Households,INCOME BRACKET,"$35,000 to $49,999"
S1901_C01_007E,"Estimate!!Households!!Total!!$50,000 to $74,999",Households,INCOME BRACKET,"$50,000 to $74,999"
S1901_C01_008E,"Estimate!!Households!!Total!!$75,000 to $99,999",Households,INCOME BRACKET,"$75,000 to $99,999"
S1901_C01_009E,"Estimate!!Households!!Total!!$100,000 to $149,999",Households,INCOME BRACKET,"$100,000 to $149,999"
S1901_C01_010E,"Estimate!!Households!!Total!!$150,000 to $199,999",Households,INCOME BRACKET,"$150,000 to $199,999"
S1901_C01_011E,"Estimate!!Households!!Total!!$200,000 or more",Households,INCOME BRACKET,"$200,000 or more"
S1901_C01_012E,Estimate!!Households!!Median income (dollars),Households,SUMMARY INDICATORS,Median income (dollars)
S1901_C01_013E,Estimate!!Households!!Mean income (dollars),Households,SUMMARY INDICATORS,Mean income (dollars)
S1901_C02_001E,Estimate!!Families!!Total,Families,SUMMARY INDICATORS,Total
S1901_C02_002E,"Estimate!!Families!!Total!!Less than $10,000",Families,INCOME BRACKET,"Less than $10,000"
S1901_C02_003E,"Estimate!!Families!!Total!!$10,000 to $14,999",Families,INCOME BRACKET,"$10,000 to $14,999"
S1901_C02_004E,"Estimate!!Families!!Total!!$15,000 to $24,999",Families,INCOME BRACKET,"$15,000 to $24,999"
S1901_C02_005E,"Estimate!!Families!!Total!!$25,000 to $34,999",Families,INCOME BRACKET,"$25,000 to $34,999"
S1901_C02_006E,"Estimate!!Families!!Total!!$35,000 to $49,999",Families,INCOME BRACKET,"$35,000 to $49,999"
S1901_C02_007E,"Estimate!!Families!!Total!!$50,000 to $74,999",Families,INCOME BRACKET,"$50,000 to $74,999"
S1901_C02_008E,"Estimate!!Families!!Total!!$75,000 to $99,999",Families,INCOME BRACKET,"$75,000 to $99,999"
S1901_C02_009E,"Estimate!!Families!!Total!!$100,000 to $149,999",Families,INCOME BRACKET,"$100,000 to $149,999"
S1901_C02_010E,"Estimate!!Families!!Total!!$150,000 to $199,999",Families,INCOME BRACKET,"$150,000 to $199,999"
S1901_C02_011E,"Estimate!!Families!!Total!!$200,000 or more",Families,INCOME BRACKET,"$200,000 or more"
S1901_C02_012E,Estimate!!Families!!Median income (dollars),Families,SUMMARY INDICATORS,Median income (dollars)
S1901_C02_013E,Estimate!!Families!!Mean income (dollars),Families,SUMMARY INDICATORS,Mean income (dollars)
S1901_C03_001E,Estimate!!Married-couple families!!Total,Married-couple families,SUMMARY INDICATORS,Total
S1901_C03_002E,"Estimate!!Married-couple families!!Total!!Less than $10,000",Married-couple families,INCOME BRACKET,"Less than $10,000"
S1901_C03_003E,"Estimate!!Married-couple families!!Total!!$10,000 to $14,999",Married-couple families,INCOME BRACKET,"$10,000 to $14,999"
S1901_C03_004E,"Estimate!!Married-couple families!!Total!!$15,000 to $24,999",Married-couple families,INCOME BRACKET,"$15,000 to $24,999"
S1901_C03_005E,"Estimate!!Married-couple families!!Total!!$25,000 to $34,999",Married-couple families,INCOME BRACKET,"$25,000 to $34,999"
S1901_C03_006E,"Estimate!!Married-couple families!!Total!!$35,000 to $49,999",Married-couple families,INCOME BRACKET,"$35,000 to $49,999"
S1901_C03_007E,"Estimate!!Married-couple families!!Total!!$50,000 to $74,999",Married-couple families,INCOME BRACKET,"$50,000 to $74,999"
S1901_C03_008E,"Estimate!!Married-couple families!!Total!!$75,000 to $99,999",Married-couple families,INCOME BRACKET,"$75,000 to $99,999"
S1901_C03_009E,"Estimate!!Married-couple families!!Total!!$100,000 to $149,999",Married-couple families,INCOME BRACKET,"$100,000 to $149,999"
S1901_C03_010E,"Estimate!!Married-couple families!!Total!!$150,000 to $199,999",Married-couple families,INCOME BRACKET,"$150,000 to $199,999"
S1901_C03_011E,"Estimate!!Married-couple families!!Total!!$200,000 or more",Married-couple families,INCOME BRACKET,"$200,000 or more"
S1901_C03_012E,Estimate!!Married-couple families!!Median income (dollars),Married-couple families,SUMMARY INDICATORS,Median income (dollars)
S1901_C03_013E,Estimate!!Married-couple families!!Mean income (dollars),Married-couple families,SUMMARY INDICATORS,Mean income (dollars)
S1901_C04_001E,Estimate!!Nonfamily households!!Total,Nonfamily households,SUMMARY INDICATORS,Total
S1901_C04_002E,"Estimate!!Nonfamily households!!Total!!Less than $10,000",Nonfamily households,INCOME BRACKET,"Less than $10,000"
S1901_C04_003E,"Estimate!!Nonfamily households!!Total!!$10,000 to $14,999",Nonfamily households,INCOME BRACKET,"$10,000 to $14,999"
S1901_C04_004E,"Estimate!!Nonfamily households!!Total!!$15,000 to $24,999",Nonfamily households,INCOME BRACKET,"$15,000 to $24,999"
S1901_C04_005E,"Estimate!!Nonfamily households!!Total!!$25,000 to $34,999",Nonfamily households,INCOME BRACKET,"$25,000 to $34,999"
S1901_C04_006E,"Estimate!!Nonfamily households!!Total!!$35,000 to $49,999",Nonfamily households,INCOME BRACKET,"$35,000 to $49,999"
S1901_C04_007E,"Estimate!!Nonfamily households!!Total!!$50,000 to $74,999",Nonfamily households,INCOME BRACKET,"$50,000 to $74,999"
S1901_C04_008E,"Estimate!!Nonfamily households!!Total!!$75,000 to $99,999",Nonfamily households,INCOME BRACKET,"$75,000 to $99,999"
S1901_C04_009E,"Estimate!!Nonfamily households!!Total!!$100,000 to $149,999",Nonfamily households,INCOME BRACKET,"$100,000 to $149,999"
S1901_C04_010E,"Estimate!!Nonfamily households!!Total!!$150,000 to $199,999",Nonfamily households,INCOME BRACKET,"$150,000 to $199,999"
S1901_C04_011E,"Estimate!!Nonfamily households!!Total!!$200,000 or more",Nonfamily households,INCOME BRACKET,"$200,000 or more"
S1901_C04_012E,Estimate!!Nonfamily households!!Median income (dollars),Nonfamily households,SUMMARY INDICATORS,Median income (dollars)
