Total population,Male,Female,Sex ratio (males per 100 females),Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),Under 18 years,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over,One race,Two or More Races,White,Black or African American,American Indian and Alaska Native,Aztec,Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,Maya,Native Village of Barrow Inupiat Traditional Government,Navajo Nation,Nome Eskimo Community,Other American Indian and Alaska Native,Asian,Asian Indian,Chinese,Filipino,Japanese,Korean,Vietnamese,Other Asian,Native Hawaiian and Other Pacific Islander,Chamorro,Native Hawaiian,Samoan,Other Native Hawaiian and Other Pacific Islander,Some Other Race,White and Black or African American,White and American Indian and Alaska Native,White and Asian,White and Some Other Race,Black or African American and American Indian and Alaska Native,Black or African American and Some Other Race,Hispanic or Latino (of any race),Mexican,Puerto Rican,Cuban,Other Hispanic or Latino,Not Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two races including Some Other Race,"Two races excluding Some Other Race, and three or more races",Total housing units,"Citizen, 18 and over population",GEO_ID,Zip Code,ucgid,County,County Code,State Number,State,Year
737,563,174,323.6,13,9,4,4,60,177,203,125,47,56,37,2,0,40.4,28,711,709,707,46,39,685,52,184,114,124,0,0,0,0,0,0,124,136,0,0,126,0,0,5,5,0,0,0,0,0,127,0,12,23,5,5,2,142,88,4,5,45,595,173,109,124,136,0,13,0,40,71,369,860Z200US99553,99553,860Z200US99553,Aleutians East Borough,0500000US02013,02,Alaska,2023
236,105,131,80.2,10,4,0,1,57,23,27,35,39,17,12,11,0,44.8,14,222,222,221,32,23,202,34,67,1,78,0,0,0,0,0,0,78,46,0,0,28,0,18,0,0,4,0,0,4,0,6,0,12,0,0,0,0,15,9,0,0,6,221,58,1,78,46,4,0,0,34,164,222,860Z200US99571,99571,860Z200US99571,Aleutians East Borough,0500000US02013,02,Alaska,2023
95,55,40,137.5,20,7,1,15,4,13,16,0,11,0,8,0,0,32.1,36,67,59,52,8,8,95,0,18,0,68,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,20,20,0,0,0,75,18,0,57,0,0,0,0,0,51,59,860Z200US99583,99583,860Z200US99583,Aleutians East Borough,0500000US02013,02,Alaska,2023
1204,705,499,141.3,36,44,79,79,141,132,171,224,84,62,84,35,33,39.1,208,1031,996,934,172,152,1051,153,141,5,562,0,0,0,0,0,2,560,288,0,0,268,0,20,0,0,0,0,0,0,0,55,2,107,0,6,0,0,129,107,13,0,9,1075,121,5,562,288,0,4,4,91,437,847,860Z200US99612,99612,860Z200US99612,Aleutians East Borough,0500000US02013,02,Alaska,2023
1151,688,463,148.6,27,22,45,42,92,171,109,248,128,96,109,62,0,46.9,124,1046,1027,1015,191,171,977,174,158,86,410,0,0,0,0,0,0,410,257,0,0,224,0,0,33,0,28,0,0,0,28,38,0,75,20,55,0,0,54,38,0,0,16,1097,158,86,410,257,28,2,44,112,431,778,860Z200US99661,99661,860Z200US99661,Aleutians East Borough,0500000US02013,02,Alaska,2023
141,89,52,171.2,3,0,1,3,15,6,2,48,14,28,17,0,4,53.6,4,137,137,134,40,21,134,7,80,24,9,0,0,0,0,0,0,9,16,0,0,16,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,5,5,0,0,0,136,80,24,9,16,0,0,0,7,277,132,860Z200US99546,99546,860Z200US99546,Aleutians West Census Area,0500000US02016,02,Alaska,2023
26,15,11,136.4,4,5,5,0,0,6,2,2,1,1,0,0,0,13.7,14,12,12,12,1,0,26,0,0,0,26,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,26,0,0,0,0,0,14,12,860Z200US99547,99547,860Z200US99547,Aleutians West Census Area,0500000US02016,02,Alaska,2023
59,30,29,103.4,6,0,5,6,0,13,14,1,0,4,10,0,0,34.5,15,48,44,42,12,10,55,4,0,0,55,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,58,0,0,55,0,0,0,0,3,29,44,860Z200US99591,99591,860Z200US99591,Aleutians West Census Area,0500000US02016,02,Alaska,2023
1,0,1,-666666666.0,0,0,0,0,0,0,0,0,0,1,0,0,0,-666666666.0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,1,860Z200US99638,99638,860Z200US99638,Aleutians West Census Area,0500000US02016,02,Alaska,2023
362,285,77,370.1,18,12,16,48,20,59,26,79,19,19,41,5,0,39.3,86,277,276,265,60,46,339,23,66,0,270,0,0,0,0,0,0,270,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,35,35,0,0,0,327,66,0,235,3,0,0,0,23,98,276,860Z200US99660,99660,860Z200US99660,Aleutians West Census Area,0500000US02016,02,Alaska,2023
